,Name,F1,Precision,Recall,,,,,
0,"['Sigmoid', 'Cos']",0.531065461,0.571357061,0.590370534,1,15,20,3,
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.932555996,0.933065141,0.932662307,1,15,20,3,
0,"['LeakyReLU', 'LeakyReLU']",0.928953877,0.930104739,0.928920236,1,15,20,3,
0,['Sigmoid'],0.608531798,0.663643012,0.657345774,1,15,20,3,
0,"['Sigmoid', 'Sigmoid']",0.457653882,0.488663546,0.538907256,1,15,20,3,
0,['Cos'],0.107877509,0.095071567,0.260480494,1,15,20,3,
0,"['Cos', 'Cos']",0.111504672,0.107748562,0.260059266,1,15,20,3,
0,"['LeakyReLU', 'Sigmoid']",0.931638025,0.93226311,0.931672912,1,15,20,3,
0,"['LeakyReLU', 'Cos']",0.925602892,0.926312625,0.925609189,1,15,20,3,
0,"['Sigmoid', 'Cos']",0.522244286,0.563218628,0.580505963,1,15,20,3,
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.933584552,0.934248898,0.933725202,1,15,20,3,
0,"['LeakyReLU', 'LeakyReLU']",0.932051819,0.933252376,0.932206711,1,15,20,3,
0,['Sigmoid'],0.570017299,0.573117323,0.631594416,1,15,20,3,
0,"['Sigmoid', 'Sigmoid']",0.38200283,0.413397115,0.485182464,1,15,20,3,
0,['Cos'],0.111065582,0.090988352,0.264658339,1,15,20,3,
0,"['Cos', 'Cos']",0.11656397,0.111864619,0.263776635,1,15,20,3,
0,['ReLu'],0.932275429,0.933366127,0.932402645,1,15,20,3,
0,"['ReLu', 'ReLu']",0.933777853,0.934468246,0.933872153,1,15,20,3,
0,['noChange'],0.92156005,0.924356187,0.921430321,1,15,20,3,
0,"['noChange', 'noChange']",0.920054845,0.922358265,0.920156747,1,15,20,3,
0,"['LeakyReLU', 'Sigmoid']",0.927038922,0.929042398,0.927063434,1,15,20,3,
0,"['LeakyReLU', 'Cos']",0.918573388,0.919821156,0.919030125,1,15,20,3,
0,"['Sigmoid', 'Cos']",0.542883559,0.5800079,0.590252265,1,15,20,3,
0,"['ReLu', 'Sigmoid']",0.932659122,0.933534802,0.932843497,1,15,20,3,
0,"['ReLu', 'Cos']",0.928266786,0.928710297,0.928337007,1,15,20,3,
0,"['ReLu', 'LeakyReLU']",0.928274723,0.930172332,0.928337007,1,15,20,3,
0,"['noChange', 'Sigmoid']",0.926917258,0.928542282,0.926965467,1,15,20,3,
0,"['noChange', 'Cos']",0.912813793,0.919862216,0.912662258,1,15,20,3,
0,"['noChange', 'LeakyReLU']",0.934136945,0.934723014,0.934068087,1,15,20,3,
0,"['noChange', 'ReLu']",0.933414219,0.934353614,0.933431301,1,15,20,3,
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,
